cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
25.1875                         ,1209                           ,10.2                           ,3                              ,3.4                            ,0.070833                       ,0.060153                       ,0.01068                        ,0.047218                       ,0.070223                       ,0.096009                       ,0.070223                       ,-0.086836                      ,4.4254                         ,0.75082                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.8284                         ,145.831                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
25.5                            ,1224                           ,6.8                            ,3                              ,2.2667                         ,0.047222                       ,0.059969                       ,-0.012747                      ,0.048734                       ,0.072116                       ,0.098325                       ,0.072116                       ,-0.087516                      ,4.4978                         ,0.23875                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.7934                         ,146.9628                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
25.8125                         ,1239                           ,22                             ,3                              ,7.3333                         ,0.14808                        ,0.059832                       ,0.088245                       ,0.050526                       ,0.074342                       ,0.10104                        ,0.074342                       ,-0.088255                      ,4.5709                         ,0.82639                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.7593                         ,148.0441                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
26.1154                         ,1254                           ,29.4667                        ,3                              ,9.8222                         ,0.19728                        ,0.059751                       ,0.13753                        ,0.05266                        ,0.076983                       ,0.10425                        ,0.076983                       ,-0.089079                      ,4.6471                         ,0.16391                        ,1                              ,1                              ,1                              ,1                              ,0                              ,1.1912                         ,6.7258                         ,149.0918                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
26.4167                         ,1269                           ,8.4                            ,3                              ,2.8                            ,0.058333                       ,0.059724                       ,-0.0013906                     ,0.055129                       ,0.080033                       ,0.10795                        ,0.080033                       ,-0.089995                      ,4.7287                         ,0.83273                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.6929                         ,150.1395                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
26.7292                         ,1284                           ,6.2667                         ,2.0667                         ,3.0667                         ,0.063234                       ,0.059746                       ,0.0034873                      ,0.057816                       ,0.083349                       ,0.11197                        ,0.083349                       ,-0.090968                      ,4.8163                         ,0.62309                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.6606                         ,151.1871                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
27.0385                         ,1299                           ,2.2667                         ,2                              ,1.1333                         ,0.022279                       ,0.059808                       ,-0.037529                      ,0.060616                       ,0.086804                       ,0.11616                        ,0.086804                       ,-0.091987                      ,4.9069                         ,0.53433                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.6289                         ,152.2348                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
27.3333                         ,1314                           ,2.5333                         ,2                              ,1.2667                         ,0.026389                       ,0.059892                       ,-0.033503                      ,0.063445                       ,0.090301                       ,0.1204                         ,0.090301                       ,-0.093053                      ,4.9965                         ,0.48623                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5978                         ,153.2825                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
27.6458                         ,1329                           ,8                              ,2                              ,4                              ,0.07906                        ,0.059977                       ,0.019083                       ,0.066225                       ,0.093749                       ,0.1246                         ,0.093749                       ,-0.094159                      ,5.0824                         ,0.60238                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5673                         ,154.3301                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
27.9423                         ,1344                           ,11.8                           ,2                              ,5.9                            ,0.12103                        ,0.060035                       ,0.060991                       ,0.068888                       ,0.097063                       ,0.12864                        ,0.097063                       ,-0.095289                      ,5.1622                         ,0.63889                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5374                         ,155.1102                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
