cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
19.6176                         ,408                            ,40.2667                        ,4                              ,10.0667                        ,0.29608                        ,0.31207                        ,-0.015995                      ,0.19385                        ,0.26679                        ,0.34854                        ,0.26679                        ,-0.23117                       ,6.1082                         ,0.0025079                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8839                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.0588                         ,423                            ,42                             ,4                              ,10.5                           ,0.30882                        ,0.31321                        ,-0.0043911                     ,0.18923                        ,0.26083                        ,0.3411                         ,0.26083                        ,-0.22803                       ,6.0193                         ,0.0036311                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8948                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.5                            ,438                            ,78                             ,4                              ,19.5                           ,0.57353                        ,0.31429                        ,0.25924                        ,0.18429                        ,0.25448                        ,0.33315                        ,0.25448                        ,-0.22473                       ,5.9346                         ,0.0027027                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.9059                         ,317.7878                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.9412                         ,453                            ,110.0667                       ,4                              ,27.5167                        ,0.85315                        ,0.31532                        ,0.53784                        ,0.17943                        ,0.24821                        ,0.32531                        ,0.24821                        ,-0.22137                       ,5.8494                         ,0.66265                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.935                          ,315.6777                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
21.4062                         ,468                            ,101.4                          ,4                              ,25.35                          ,0.75491                        ,0.31631                        ,0.4386                         ,0.17458                        ,0.24195                        ,0.31747                        ,0.24195                        ,-0.218                         ,5.7647                         ,0.67054                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.9663                         ,313.5676                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
21.8529                         ,483                            ,102.6667                       ,4                              ,25.6667                        ,0.7549                         ,0.31721                        ,0.43769                        ,0.16976                        ,0.23571                        ,0.30965                        ,0.23571                        ,-0.2146                        ,5.6802                         ,0.65286                        ,0                              ,0                              ,1                              ,0                              ,0                              ,0                              ,2.9999                         ,311.4575                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.2941                         ,498                            ,81                             ,4                              ,20.25                          ,0.61544                        ,0.3182                         ,0.29724                        ,0.16497                        ,0.22952                        ,0.30188                        ,0.22952                        ,-0.21119                       ,5.5955                         ,0.89613                        ,0                              ,1                              ,0                              ,1                              ,0                              ,14.4537                        ,3.0359                         ,309.3474                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.75                           ,513                            ,64.2                           ,4                              ,16.05                          ,0.48779                        ,0.31932                        ,0.16848                        ,0.16025                        ,0.22341                        ,0.2942                         ,0.22341                        ,-0.20777                       ,5.5106                         ,0.92703                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.0743                         ,307.2373                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.2059                         ,528                            ,68                             ,4                              ,17                             ,0.51042                        ,0.32057                        ,0.18985                        ,0.15561                        ,0.21738                        ,0.28662                        ,0.21738                        ,-0.20434                       ,5.4255                         ,0.90755                        ,1                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.1148                         ,305.1273                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.6562                         ,543                            ,59.8667                        ,4                              ,14.9667                        ,0.46771                        ,0.32197                        ,0.14574                        ,0.15107                        ,0.21147                        ,0.27918                        ,0.21147                        ,-0.20091                       ,5.3404                         ,0.90352                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.1573                         ,303.0172                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
24.125                          ,558                            ,45.8                           ,4                              ,11.45                          ,0.35781                        ,0.32352                        ,0.034297                       ,0.14663                        ,0.20569                        ,0.27189                        ,0.20569                        ,-0.1975                        ,5.2554                         ,0.57651                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.2013                         ,300.9071                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
